BG_ID,ADW,HOMICIDE,ROBBERY,SEX_ABUSE,TOTAL
A055005,4,,8,1,13
A056001,10,,16,6,32
A056002,7,,8,1,16
A056003,6,,5,2,13
A056004,13,,6,4,23
A058001,91,2,190,17,300
A058002,42,,77,7,126
A059001,83,4,76,33,196
A062021,24,3,45,22,94
A064001,64,4,43,3,114
A064002,39,3,19,3,64
A065001,9,,25,,34
A065002,2,,12,2,16
A066001,4,,42,4,50
A067001,8,,25,2,35
A067002,2,,18,1,21
A067003,6,,32,2,40
A068011,20,,56,6,82
A068012,10,,20,2,32
A068021,10,,18,3,31
A068022,5,1,36,2,44
A068041,69,,7,27,103
A069001,17,,55,,72
A069002,8,,60,,68
A070001,3,,35,1,39
A070002,20,1,72,5,98
A071001,16,1,21,5,43
A071002,42,4,88,3,137
A072001,13,4,27,7,51
A072002,37,2,49,5,93
A073011,1,,,,1
A073041,124,10,133,11,278
A073042,32,2,35,7,76
A073043,41,4,39,3,87
A074011,85,9,116,9,219
A074012,59,6,47,4,116
A074031,101,12,73,9,195
