OFFENSE,BLOCK_GROUP,COUNT(*)
"ASSAULT W/DANGEROUS WEAPON","004600 2",33
"ASSAULT W/DANGEROUS WEAPON","004701 1",21
"ASSAULT W/DANGEROUS WEAPON","004701 2",40
"ASSAULT W/DANGEROUS WEAPON","004702 1",51
"ASSAULT W/DANGEROUS WEAPON","004801 1",44
"ASSAULT W/DANGEROUS WEAPON","004802 1",7
"ASSAULT W/DANGEROUS WEAPON","004802 2",16
"ASSAULT W/DANGEROUS WEAPON","004901 1",26
"ASSAULT W/DANGEROUS WEAPON","004901 2",36
"ASSAULT W/DANGEROUS WEAPON","004902 1",21
"ASSAULT W/DANGEROUS WEAPON","004902 2",31
"ASSAULT W/DANGEROUS WEAPON","005001 1",9
"ASSAULT W/DANGEROUS WEAPON","005001 2",7
"ASSAULT W/DANGEROUS WEAPON","005002 1",1
"ASSAULT W/DANGEROUS WEAPON","005002 2",8
"ASSAULT W/DANGEROUS WEAPON","005002 3",2
"ASSAULT W/DANGEROUS WEAPON","005002 4",15
"ASSAULT W/DANGEROUS WEAPON","005201 1",11
"ASSAULT W/DANGEROUS WEAPON","005201 2",4
"ASSAULT W/DANGEROUS WEAPON","005201 3",24
"ASSAULT W/DANGEROUS WEAPON","005201 4",12
"ASSAULT W/DANGEROUS WEAPON","005301 1",3
"ASSAULT W/DANGEROUS WEAPON","005301 2",7
"ASSAULT W/DANGEROUS WEAPON","005301 3",6
"ASSAULT W/DANGEROUS WEAPON","005301 4",16
"ASSAULT W/DANGEROUS WEAPON","005500 1",40
"ASSAULT W/DANGEROUS WEAPON","005500 2",10
"ASSAULT W/DANGEROUS WEAPON","005500 3",21
"ASSAULT W/DANGEROUS WEAPON","005500 4",9
"ASSAULT W/DANGEROUS WEAPON","005500 5",4
"ASSAULT W/DANGEROUS WEAPON","005600 1",10
"ASSAULT W/DANGEROUS WEAPON","005600 2",7
"ASSAULT W/DANGEROUS WEAPON","005600 3",6
"ASSAULT W/DANGEROUS WEAPON","005600 4",13
"ASSAULT W/DANGEROUS WEAPON","005800 1",91
"ASSAULT W/DANGEROUS WEAPON","005800 2",42
"ASSAULT W/DANGEROUS WEAPON","005900 1",83
"ASSAULT W/DANGEROUS WEAPON","006202 1",24
"ASSAULT W/DANGEROUS WEAPON","006400 1",64
"ASSAULT W/DANGEROUS WEAPON","006400 2",39
"ASSAULT W/DANGEROUS WEAPON","006500 1",9
"ASSAULT W/DANGEROUS WEAPON","006500 2",2
"ASSAULT W/DANGEROUS WEAPON","006600 1",4
"ASSAULT W/DANGEROUS WEAPON","006700 1",8
"ASSAULT W/DANGEROUS WEAPON","006700 2",2
"ASSAULT W/DANGEROUS WEAPON","006700 3",6
"ASSAULT W/DANGEROUS WEAPON","006801 1",20
"ASSAULT W/DANGEROUS WEAPON","006801 2",10
"ASSAULT W/DANGEROUS WEAPON","006802 1",10
"ASSAULT W/DANGEROUS WEAPON","006802 2",5
"ASSAULT W/DANGEROUS WEAPON","006804 1",69
"ASSAULT W/DANGEROUS WEAPON","006900 1",17
"ASSAULT W/DANGEROUS WEAPON","006900 2",8
"ASSAULT W/DANGEROUS WEAPON","007000 1",3
"ASSAULT W/DANGEROUS WEAPON","007000 2",20
"ASSAULT W/DANGEROUS WEAPON","007100 1",16
"ASSAULT W/DANGEROUS WEAPON","007100 2",42
"ASSAULT W/DANGEROUS WEAPON","007200 1",13
"ASSAULT W/DANGEROUS WEAPON","007200 2",37
"ASSAULT W/DANGEROUS WEAPON","007301 1",1
"ASSAULT W/DANGEROUS WEAPON","007304 1",124
"ASSAULT W/DANGEROUS WEAPON","007304 2",32
"ASSAULT W/DANGEROUS WEAPON","007304 3",41
"ASSAULT W/DANGEROUS WEAPON","007401 1",85
"ASSAULT W/DANGEROUS WEAPON","007401 2",59
"ASSAULT W/DANGEROUS WEAPON","007403 1",101
"ASSAULT W/DANGEROUS WEAPON","007404 1",42
"ASSAULT W/DANGEROUS WEAPON","007404 2",35
"ASSAULT W/DANGEROUS WEAPON","007404 3",65
"ASSAULT W/DANGEROUS WEAPON","007406 1",30
"ASSAULT W/DANGEROUS WEAPON","007406 2",100
"ASSAULT W/DANGEROUS WEAPON","007407 1",29
"ASSAULT W/DANGEROUS WEAPON","007407 2",69
"ASSAULT W/DANGEROUS WEAPON","007408 1",131
"ASSAULT W/DANGEROUS WEAPON","007409 1",21
"ASSAULT W/DANGEROUS WEAPON","007409 2",56
"ASSAULT W/DANGEROUS WEAPON","007409 3",72
"ASSAULT W/DANGEROUS WEAPON","007502 1",84
"ASSAULT W/DANGEROUS WEAPON","007502 2",97
"ASSAULT W/DANGEROUS WEAPON","007503 1",79
"ASSAULT W/DANGEROUS WEAPON","007503 2",77
"ASSAULT W/DANGEROUS WEAPON","007504 1",182
"ASSAULT W/DANGEROUS WEAPON","007601 1",35
"ASSAULT W/DANGEROUS WEAPON","007601 2",21
"ASSAULT W/DANGEROUS WEAPON","007601 3",79
"ASSAULT W/DANGEROUS WEAPON","007601 4",71
"ASSAULT W/DANGEROUS WEAPON","007601 5",33
"ASSAULT W/DANGEROUS WEAPON","007603 1",36
"ASSAULT W/DANGEROUS WEAPON","007603 2",22
"ASSAULT W/DANGEROUS WEAPON","007603 3",13
"ASSAULT W/DANGEROUS WEAPON","007603 4",13
"ASSAULT W/DANGEROUS WEAPON","007604 1",49
"ASSAULT W/DANGEROUS WEAPON","007604 2",34
"ASSAULT W/DANGEROUS WEAPON","007604 3",24
"ASSAULT W/DANGEROUS WEAPON","007605 1",5
"ASSAULT W/DANGEROUS WEAPON","007605 2",34
"ASSAULT W/DANGEROUS WEAPON","007605 3",39
"ASSAULT W/DANGEROUS WEAPON","007703 1",29
"ASSAULT W/DANGEROUS WEAPON","007703 2",25
"ASSAULT W/DANGEROUS WEAPON","007703 3",134
"ASSAULT W/DANGEROUS WEAPON","007703 4",17
"ASSAULT W/DANGEROUS WEAPON","007707 1",130
"ASSAULT W/DANGEROUS WEAPON","007707 2",44
"ASSAULT W/DANGEROUS WEAPON","007708 1",42
"ASSAULT W/DANGEROUS WEAPON","007708 2",62
"ASSAULT W/DANGEROUS WEAPON","007709 1",43
"ASSAULT W/DANGEROUS WEAPON","007709 2",33
"ASSAULT W/DANGEROUS WEAPON","007803 1",102
"ASSAULT W/DANGEROUS WEAPON","007803 2",25
"ASSAULT W/DANGEROUS WEAPON","007803 3",18
"ASSAULT W/DANGEROUS WEAPON","007803 4",40
"ASSAULT W/DANGEROUS WEAPON","007804 1",51
"ASSAULT W/DANGEROUS WEAPON","007804 2",86
"ASSAULT W/DANGEROUS WEAPON","007804 3",29
"ASSAULT W/DANGEROUS WEAPON","007806 1",57
"ASSAULT W/DANGEROUS WEAPON","007806 2",65
"ASSAULT W/DANGEROUS WEAPON","007807 1",53
"ASSAULT W/DANGEROUS WEAPON","007807 2",57
"ASSAULT W/DANGEROUS WEAPON","007808 1",98
"ASSAULT W/DANGEROUS WEAPON","007808 2",63
"ASSAULT W/DANGEROUS WEAPON","007808 3",32
"ASSAULT W/DANGEROUS WEAPON","007809 1",66
"ASSAULT W/DANGEROUS WEAPON","007809 2",43
"ASSAULT W/DANGEROUS WEAPON","007901 1",65
"ASSAULT W/DANGEROUS WEAPON","007901 2",23
"ASSAULT W/DANGEROUS WEAPON","007901 3",51
"ASSAULT W/DANGEROUS WEAPON","007901 4",94
"ASSAULT W/DANGEROUS WEAPON","007903 1",65
"ASSAULT W/DANGEROUS WEAPON","008001 1",15
"ASSAULT W/DANGEROUS WEAPON","008001 2",14
"ASSAULT W/DANGEROUS WEAPON","008001 3",2
"ASSAULT W/DANGEROUS WEAPON","008002 1",15
"ASSAULT W/DANGEROUS WEAPON","008002 2",10
"ASSAULT W/DANGEROUS WEAPON","008100 2",4
"ASSAULT W/DANGEROUS WEAPON","008301 1",6
"ASSAULT W/DANGEROUS WEAPON","008301 2",2
"ASSAULT W/DANGEROUS WEAPON","008302 1",24
"ASSAULT W/DANGEROUS WEAPON","008402 1",58
"ASSAULT W/DANGEROUS WEAPON","008402 2",16
"ASSAULT W/DANGEROUS WEAPON","008410 1",37
"ASSAULT W/DANGEROUS WEAPON","008701 1",32
"ASSAULT W/DANGEROUS WEAPON","008701 2",18
"ASSAULT W/DANGEROUS WEAPON","008702 1",40
"ASSAULT W/DANGEROUS WEAPON","008702 2",9
"ASSAULT W/DANGEROUS WEAPON","008802 1",47
"ASSAULT W/DANGEROUS WEAPON","008802 2",66
"ASSAULT W/DANGEROUS WEAPON","008802 3",19
"ASSAULT W/DANGEROUS WEAPON","008802 4",40
"ASSAULT W/DANGEROUS WEAPON","008803 1",169
"ASSAULT W/DANGEROUS WEAPON","008804 1",44
"ASSAULT W/DANGEROUS WEAPON","008804 2",107
"ASSAULT W/DANGEROUS WEAPON","008903 1",68
"ASSAULT W/DANGEROUS WEAPON","008903 2",29
"ASSAULT W/DANGEROUS WEAPON","008904 1",117
"ASSAULT W/DANGEROUS WEAPON","008904 2",77
"ASSAULT W/DANGEROUS WEAPON","009000 1",12
"ASSAULT W/DANGEROUS WEAPON","009000 2",12
"ASSAULT W/DANGEROUS WEAPON","009102 1",23
"ASSAULT W/DANGEROUS WEAPON","009102 2",98
"ASSAULT W/DANGEROUS WEAPON","009102 3",48
"ASSAULT W/DANGEROUS WEAPON","009201 1",34
"ASSAULT W/DANGEROUS WEAPON","009203 1",6
"ASSAULT W/DANGEROUS WEAPON","009203 2",29
"ASSAULT W/DANGEROUS WEAPON","009204 1",39
"ASSAULT W/DANGEROUS WEAPON","009204 2",41
"ASSAULT W/DANGEROUS WEAPON","009301 1",10
"ASSAULT W/DANGEROUS WEAPON","009301 2",21
"ASSAULT W/DANGEROUS WEAPON","009301 3",10
"ASSAULT W/DANGEROUS WEAPON","009301 4",7
"ASSAULT W/DANGEROUS WEAPON","009302 1",35
"ASSAULT W/DANGEROUS WEAPON","009400 1",9
"ASSAULT W/DANGEROUS WEAPON","009400 2",27
"ASSAULT W/DANGEROUS WEAPON","009400 3",10
"ASSAULT W/DANGEROUS WEAPON","009400 4",2
"ASSAULT W/DANGEROUS WEAPON","009501 1",26
"ASSAULT W/DANGEROUS WEAPON","009501 2",9
"ASSAULT W/DANGEROUS WEAPON","009501 3",18
"ASSAULT W/DANGEROUS WEAPON","009503 1",17
"ASSAULT W/DANGEROUS WEAPON","009503 2",2
"ASSAULT W/DANGEROUS WEAPON","009503 3",2
"ASSAULT W/DANGEROUS WEAPON","009504 1",21
"ASSAULT W/DANGEROUS WEAPON","009504 2",14
"ASSAULT W/DANGEROUS WEAPON","009505 1",14
"ASSAULT W/DANGEROUS WEAPON","009505 2",16
"ASSAULT W/DANGEROUS WEAPON","009505 3",28
"ASSAULT W/DANGEROUS WEAPON","009507 1",15
"ASSAULT W/DANGEROUS WEAPON","009508 1",20
"ASSAULT W/DANGEROUS WEAPON","009508 2",9
"ASSAULT W/DANGEROUS WEAPON","009508 3",5
"ASSAULT W/DANGEROUS WEAPON","009509 1",5
"ASSAULT W/DANGEROUS WEAPON","009509 2",6
"ASSAULT W/DANGEROUS WEAPON","009509 3",4
"ASSAULT W/DANGEROUS WEAPON","009601 1",153
"ASSAULT W/DANGEROUS WEAPON","009602 1",128
"ASSAULT W/DANGEROUS WEAPON","009602 2",6
"ASSAULT W/DANGEROUS WEAPON","009603 1",58
"ASSAULT W/DANGEROUS WEAPON","009603 2",92
"ASSAULT W/DANGEROUS WEAPON","009603 3",75
"ASSAULT W/DANGEROUS WEAPON","009604 1",31
"ASSAULT W/DANGEROUS WEAPON","009604 2",19
"ASSAULT W/DANGEROUS WEAPON","009700 1",82
"ASSAULT W/DANGEROUS WEAPON","009700 2",18
"ASSAULT W/DANGEROUS WEAPON","009801 1",68
"ASSAULT W/DANGEROUS WEAPON","009802 1",6
"ASSAULT W/DANGEROUS WEAPON","009802 2",30
"ASSAULT W/DANGEROUS WEAPON","009803 1",27
"ASSAULT W/DANGEROUS WEAPON","009803 2",23
"ASSAULT W/DANGEROUS WEAPON","009803 3",41
"ASSAULT W/DANGEROUS WEAPON","009804 1",62
"ASSAULT W/DANGEROUS WEAPON","009804 2",35
"ASSAULT W/DANGEROUS WEAPON","009807 1",73
"ASSAULT W/DANGEROUS WEAPON","009807 2",61
"ASSAULT W/DANGEROUS WEAPON","009810 1",96
"ASSAULT W/DANGEROUS WEAPON","009810 2",25
"ASSAULT W/DANGEROUS WEAPON","009811 1",95
"ASSAULT W/DANGEROUS WEAPON","009811 2",89
"ASSAULT W/DANGEROUS WEAPON","009901 1",9
"ASSAULT W/DANGEROUS WEAPON","009901 2",27
"ASSAULT W/DANGEROUS WEAPON","009902 1",15
"ASSAULT W/DANGEROUS WEAPON","009902 2",24
"ASSAULT W/DANGEROUS WEAPON","009903 1",36
"ASSAULT W/DANGEROUS WEAPON","009903 2",29
"ASSAULT W/DANGEROUS WEAPON","009904 1",22
"ASSAULT W/DANGEROUS WEAPON","009904 2",96
"ASSAULT W/DANGEROUS WEAPON","009905 1",51
"ASSAULT W/DANGEROUS WEAPON","009905 2",28
"ASSAULT W/DANGEROUS WEAPON","009905 3",41
"ASSAULT W/DANGEROUS WEAPON","009906 1",59
"ASSAULT W/DANGEROUS WEAPON","009907 1",32
"ASSAULT W/DANGEROUS WEAPON","009907 2",100
"ASSAULT W/DANGEROUS WEAPON","010100 1",79
"ASSAULT W/DANGEROUS WEAPON","010100 2",21
"ASSAULT W/DANGEROUS WEAPON","010200 1",10
"ASSAULT W/DANGEROUS WEAPON","010200 2",33
"ASSAULT W/DANGEROUS WEAPON","010300 1",3
"ASSAULT W/DANGEROUS WEAPON","010300 2",9
"ASSAULT W/DANGEROUS WEAPON","010300 3",2
"ASSAULT W/DANGEROUS WEAPON","010400 1",103
"ASSAULT W/DANGEROUS WEAPON","010400 2",142
"ASSAULT W/DANGEROUS WEAPON","010500 1",30
"ASSAULT W/DANGEROUS WEAPON","010500 2",2
"ASSAULT W/DANGEROUS WEAPON","010600 1",11
"ASSAULT W/DANGEROUS WEAPON","010600 2",108
"ASSAULT W/DANGEROUS WEAPON","010600 3",9
"ASSAULT W/DANGEROUS WEAPON","010700 1",96
"ASSAULT W/DANGEROUS WEAPON","010700 2",73
"ASSAULT W/DANGEROUS WEAPON","010800 1",12
"ASSAULT W/DANGEROUS WEAPON","010800 2",12
"ASSAULT W/DANGEROUS WEAPON","010800 3",2
"ASSAULT W/DANGEROUS WEAPON","010900 1",50
"ASSAULT W/DANGEROUS WEAPON","010900 2",62
"ASSAULT W/DANGEROUS WEAPON","011000 1",4
"ASSAULT W/DANGEROUS WEAPON","011000 3",4
"ASSAULT W/DANGEROUS WEAPON","011000 4",13
"ASSAULT W/DANGEROUS WEAPON","011100 1",82
"ASSAULT W/DANGEROUS WEAPON","011100 2",46
"ASSAULT W/DANGEROUS WEAPON","011100 3",79
