Sum of COUNT,Column Labels,,,,
Row Labels,ASSAULT W/DANGEROUS WEAPON,HOMICIDE,ROBBERY,SEX ABUSE,Grand Total
A0034001,41,,28,1,70
A0034002,31,1,98,9,139
A0035001,40,7,81,4,132
A0035002,36,,52,7,95
A0036001,7,,35,2,44
A0036002,10,1,21,3,35
A0036003,31,3,73,2,109
A0037001,11,,18,2,31
A0037002,43,1,61,4,109
A0037003,14,,35,6,55
A0038001,9,2,41,10,62
A0038002,7,,21,3,31
A0038003,26,2,36,2,66
A0039001,5,1,13,1,20
A0039002,8,1,9,3,21
A0039003,10,,22,1,33
A0039004,,,11,,11
A0040011,13,,29,2,44
A0040012,,,3,,3
A0040013,1,,9,,10
A0040021,30,,39,11,80
A0040022,10,,19,2,31
A0040023,1,,16,,17
A0041001,7,1,6,12,26
A0041002,3,,3,,6
A0041003,5,,10,2,17
A0042011,7,,21,4,32
A0042012,9,,27,2,38
A0042021,4,,18,5,27
A0042022,6,,17,3,26
A0043001,43,2,43,6,94
A0043002,24,1,36,6,67
A0044001,19,,103,7,129
A0044002,94,5,263,18,380
A0046001,93,3,68,7,171
A0046002,33,2,66,3,104
A0047011,21,2,13,2,38
A0047012,40,4,41,3,88
A0047021,51,2,84,11,148
A0048011,44,2,95,10,151
A0048021,7,1,30,2,40
A0048022,16,3,36,6,61
A0049011,26,3,32,1,62
A0049012,36,1,59,2,98
A0049021,21,2,27,3,53
A0049022,31,,59,7,97
A0050011,9,,39,,48
A0050012,7,1,22,2,32
A0050021,1,,11,2,14
A0050022,8,,15,4,27
A0050023,2,2,17,1,22
A0050024,15,,9,9,33
A0052011,11,,11,5,27
A0052012,4,,33,4,41
A0052013,24,,30,8,62
A0052014,12,,31,2,45
A0053011,3,,4,,7
A0053012,7,,20,3,30
A0053013,6,,10,2,18
A0053014,16,,17,4,37
A0055001,40,,53,7,100
A0055002,10,,8,1,19
A0055003,21,1,26,11,59
A0055004,9,,15,4,28
A0055005,4,,8,1,13
