GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US110010098072,110010098072,"Block Group 2, Census Tract 98.07, District of Columbia, District of Columbia",985,115,123,75,42,44,31,42,105,58,19,18,88,67,110,67,46,33,83,66,55,35,77,51,59,39,74,68,17,22,17,25,39,36
1500000US110010098101,110010098101,"Block Group 1, Census Tract 98.10, District of Columbia, District of Columbia",733,108,202,75,58,59,10,15,21,25,46,57,67,50,80,68,136,86,0,12,35,37,13,17,7,12,12,20,37,58,9,15,0,12
1500000US110010098102,110010098102,"Block Group 2, Census Tract 98.10, District of Columbia, District of Columbia",454,87,84,58,107,78,38,47,17,21,52,51,33,31,0,12,33,34,19,37,41,33,10,17,0,12,0,12,0,12,10,15,10,17
1500000US110010098111,110010098111,"Block Group 1, Census Tract 98.11, District of Columbia, District of Columbia",773,136,197,98,96,72,29,38,105,83,80,68,73,65,54,56,24,37,10,16,8,14,0,12,78,57,10,16,0,12,0,12,9,15
1500000US110010098112,110010098112,"Block Group 2, Census Tract 98.11, District of Columbia, District of Columbia",1079,131,164,84,74,47,83,66,28,36,100,69,124,86,109,76,71,57,59,50,40,48,80,59,113,62,14,18,20,29,0,12,0,12
1500000US110010099011,110010099011,"Block Group 1, Census Tract 99.01, District of Columbia, District of Columbia",366,76,40,44,0,12,9,16,5,9,34,42,8,12,14,22,0,12,31,33,52,41,18,19,42,33,9,13,41,43,38,34,25,30
1500000US110010099012,110010099012,"Block Group 2, Census Tract 99.01, District of Columbia, District of Columbia",642,82,14,16,28,26,8,12,13,21,26,23,9,13,9,13,9,13,32,30,28,26,76,51,62,45,34,27,61,42,99,53,134,79
1500000US110010099021,110010099021,"Block Group 1, Census Tract 99.02, District of Columbia, District of Columbia",357,103,24,27,25,28,35,28,23,28,11,18,0,12,0,12,33,52,28,27,31,32,7,11,51,54,62,40,18,23,0,12,9,14
1500000US110010099022,110010099022,"Block Group 2, Census Tract 99.02, District of Columbia, District of Columbia",738,91,86,80,89,77,0,12,13,21,9,16,17,20,13,20,128,66,37,33,51,38,54,38,110,64,53,61,18,29,46,38,14,22
1500000US110010099031,110010099031,"Block Group 1, Census Tract 99.03, District of Columbia, District of Columbia",434,69,34,36,50,40,28,33,53,46,18,28,0,12,0,12,32,32,25,29,7,14,44,36,74,44,36,32,13,13,12,18,8,13
