id2,BG_ID,BG_NAME,Geography,Population,Pct_Poverty,Pct_UnEmpl,Pct_VacUnits
1.10E+11,A090002,"Block Group 2, Census Tract 90, District of Columbia, District of Columbia","Block Group 2, Census Tract 90, District of Columbia, District of Columbia",1597,18.53475266,17.29518856,4.302203568
1.10E+11,A091021,"Block Group 1, Census Tract 91.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 91.02, District of Columbia, District of Columbia",922,7.48373102,26.76864245,4.010025063
1.10E+11,A091022,"Block Group 2, Census Tract 91.02, District of Columbia, District of Columbia","Block Group 2, Census Tract 91.02, District of Columbia, District of Columbia",2505,35.04482478,10.47854785,6.757912746
1.10E+11,A091023,"Block Group 3, Census Tract 91.02, District of Columbia, District of Columbia","Block Group 3, Census Tract 91.02, District of Columbia, District of Columbia",1837,33.66500829,11.68224299,3.98089172
1.10E+11,A092011,"Block Group 1, Census Tract 92.01, District of Columbia, District of Columbia","Block Group 1, Census Tract 92.01, District of Columbia, District of Columbia",2844,20.43824701,9.845788849,10.83743842
1.10E+11,A092031,"Block Group 1, Census Tract 92.03, District of Columbia, District of Columbia","Block Group 1, Census Tract 92.03, District of Columbia, District of Columbia",1344,10.90225564,14.24375918,3.512880562
1.10E+11,A092032,"Block Group 2, Census Tract 92.03, District of Columbia, District of Columbia","Block Group 2, Census Tract 92.03, District of Columbia, District of Columbia",1342,13.33830104,4,26.04651163
1.10E+11,A092041,"Block Group 1, Census Tract 92.04, District of Columbia, District of Columbia","Block Group 1, Census Tract 92.04, District of Columbia, District of Columbia",1037,13.50048216,17.715959,16.95906433
1.10E+11,A092042,"Block Group 2, Census Tract 92.04, District of Columbia, District of Columbia","Block Group 2, Census Tract 92.04, District of Columbia, District of Columbia",1814,49.00771775,32.56227758,1.769911504
1.10E+11,A093011,"Block Group 1, Census Tract 93.01, District of Columbia, District of Columbia","Block Group 1, Census Tract 93.01, District of Columbia, District of Columbia",770,2.467532468,38.69565217,0
1.10E+11,A093012,"Block Group 2, Census Tract 93.01, District of Columbia, District of Columbia","Block Group 2, Census Tract 93.01, District of Columbia, District of Columbia",966,10.35196687,8.81294964,6.572769953
1.10E+11,A093013,"Block Group 3, Census Tract 93.01, District of Columbia, District of Columbia","Block Group 3, Census Tract 93.01, District of Columbia, District of Columbia",1001,11.18881119,5.731225296,11.91222571
1.10E+11,A093014,"Block Group 4, Census Tract 93.01, District of Columbia, District of Columbia","Block Group 4, Census Tract 93.01, District of Columbia, District of Columbia",781,6.402048656,12.19008264,0
1.10E+11,A093021,"Block Group 1, Census Tract 93.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 93.02, District of Columbia, District of Columbia",1043,9.2042186,9.75975976,8.45323741
1.10E+11,A094001,"Block Group 1, Census Tract 94, District of Columbia, District of Columbia","Block Group 1, Census Tract 94, District of Columbia, District of Columbia",822,1.581508516,15.33018868,11.95335277
1.10E+11,A094002,"Block Group 2, Census Tract 94, District of Columbia, District of Columbia","Block Group 2, Census Tract 94, District of Columbia, District of Columbia",1455,7.835051546,11.36363636,11.33093525
1.10E+11,A094003,"Block Group 3, Census Tract 94, District of Columbia, District of Columbia","Block Group 3, Census Tract 94, District of Columbia, District of Columbia",2041,20.28627838,20.41484716,1.258992806
1.10E+11,A094004,"Block Group 4, Census Tract 94, District of Columbia, District of Columbia","Block Group 4, Census Tract 94, District of Columbia, District of Columbia",975,4.205128205,11.18421053,10.12658228
1.10E+11,A095011,"Block Group 1, Census Tract 95.01, District of Columbia, District of Columbia","Block Group 1, Census Tract 95.01, District of Columbia, District of Columbia",3240,10.68442242,9.89010989,1.680672269
1.10E+11,A095012,"Block Group 2, Census Tract 95.01, District of Columbia, District of Columbia","Block Group 2, Census Tract 95.01, District of Columbia, District of Columbia",837,34.79899497,2.843601896,5.614973262
1.10E+11,A095013,"Block Group 3, Census Tract 95.01, District of Columbia, District of Columbia","Block Group 3, Census Tract 95.01, District of Columbia, District of Columbia",3548,25.63749139,10.5227427,8.431952663
1.10E+11,A095031,"Block Group 1, Census Tract 95.03, District of Columbia, District of Columbia","Block Group 1, Census Tract 95.03, District of Columbia, District of Columbia",1706,4.572098476,6.973995272,1.221374046
1.10E+11,A095032,"Block Group 2, Census Tract 95.03, District of Columbia, District of Columbia","Block Group 2, Census Tract 95.03, District of Columbia, District of Columbia",899,5.535924617,5.539358601,0
1.10E+11,A095033,"Block Group 3, Census Tract 95.03, District of Columbia, District of Columbia","Block Group 3, Census Tract 95.03, District of Columbia, District of Columbia",832,8.457711443,4.8828125,11.73184358
1.10E+11,A095041,"Block Group 1, Census Tract 95.04, District of Columbia, District of Columbia","Block Group 1, Census Tract 95.04, District of Columbia, District of Columbia",1593,7.972379159,7.209737828,8.066298343
1.10E+11,A095042,"Block Group 2, Census Tract 95.04, District of Columbia, District of Columbia","Block Group 2, Census Tract 95.04, District of Columbia, District of Columbia",1725,8.51800554,16.55540721,7.797270955
1.10E+11,A095051,"Block Group 1, Census Tract 95.05, District of Columbia, District of Columbia","Block Group 1, Census Tract 95.05, District of Columbia, District of Columbia",666,3.603603604,20.68126521,13.66906475
1.10E+11,A095052,"Block Group 2, Census Tract 95.05, District of Columbia, District of Columbia","Block Group 2, Census Tract 95.05, District of Columbia, District of Columbia",608,2.138157895,15.43624161,30.46357616
1.10E+11,A095053,"Block Group 3, Census Tract 95.05, District of Columbia, District of Columbia","Block Group 3, Census Tract 95.05, District of Columbia, District of Columbia",1305,17.49226006,9.226190476,9.863945578
1.10E+11,A095071,"Block Group 1, Census Tract 95.07, District of Columbia, District of Columbia","Block Group 1, Census Tract 95.07, District of Columbia, District of Columbia",1777,14.57512662,18.94618834,6.58105939
1.10E+11,A095081,"Block Group 1, Census Tract 95.08, District of Columbia, District of Columbia","Block Group 1, Census Tract 95.08, District of Columbia, District of Columbia",845,23.90532544,3.299492386,10.60070671
1.10E+11,A095082,"Block Group 2, Census Tract 95.08, District of Columbia, District of Columbia","Block Group 2, Census Tract 95.08, District of Columbia, District of Columbia",1374,2.328966521,15.39509537,1.5625
1.10E+11,A095083,"Block Group 3, Census Tract 95.08, District of Columbia, District of Columbia","Block Group 3, Census Tract 95.08, District of Columbia, District of Columbia",1469,12.32130701,14.65968586,7.679465776
