GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1500000US110010027013,110010027013,"Block Group 3, Census Tract 27.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010027014,110010027014,"Block Group 4, Census Tract 27.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010027021,110010027021,"Block Group 1, Census Tract 27.02, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010027022,110010027022,"Block Group 2, Census Tract 27.02, District of Columbia, District of Columbia",46,56,0,12,0,12,0,12,0,12,33,52,0,12,13,21
1500000US110010027023,110010027023,"Block Group 3, Census Tract 27.02, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010028011,110010028011,"Block Group 1, Census Tract 28.01, District of Columbia, District of Columbia",73,55,47,51,13,23,13,19,0,12,0,12,0,12,0,12
1500000US110010028012,110010028012,"Block Group 2, Census Tract 28.01, District of Columbia, District of Columbia",98,73,66,60,23,38,0,12,0,12,0,12,0,12,9,14
1500000US110010028021,110010028021,"Block Group 1, Census Tract 28.02, District of Columbia, District of Columbia",79,62,42,47,16,25,0,12,0,12,21,35,0,12,0,12
1500000US110010028022,110010028022,"Block Group 2, Census Tract 28.02, District of Columbia, District of Columbia",27,33,15,26,0,12,0,12,0,12,0,12,0,12,12,20
1500000US110010029001,110010029001,"Block Group 1, Census Tract 29, District of Columbia, District of Columbia",100,63,12,19,0,12,0,12,17,25,24,34,0,12,47,46
1500000US110010029002,110010029002,"Block Group 2, Census Tract 29, District of Columbia, District of Columbia",39,37,0,12,0,12,17,26,0,12,7,12,0,12,15,24
1500000US110010030001,110010030001,"Block Group 1, Census Tract 30, District of Columbia, District of Columbia",76,54,17,26,0,12,0,12,0,12,18,29,0,12,41,39
1500000US110010030002,110010030002,"Block Group 2, Census Tract 30, District of Columbia, District of Columbia",79,58,33,38,26,31,0,12,0,12,0,12,0,12,20,31
1500000US110010031001,110010031001,"Block Group 1, Census Tract 31, District of Columbia, District of Columbia",105,61,0,12,0,12,0,12,0,12,23,36,0,12,82,52
1500000US110010032001,110010032001,"Block Group 1, Census Tract 32, District of Columbia, District of Columbia",31,48,31,48,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010032002,110010032002,"Block Group 2, Census Tract 32, District of Columbia, District of Columbia",52,58,0,12,0,12,0,12,0,12,0,12,0,12,52,58
1500000US110010032003,110010032003,"Block Group 3, Census Tract 32, District of Columbia, District of Columbia",141,93,60,65,0,12,0,12,0,12,0,12,0,12,81,75
1500000US110010032004,110010032004,"Block Group 4, Census Tract 32, District of Columbia, District of Columbia",57,64,30,47,0,12,0,12,0,12,0,12,0,12,27,44
1500000US110010033011,110010033011,"Block Group 1, Census Tract 33.01, District of Columbia, District of Columbia",52,48,21,30,0,12,0,12,0,12,0,12,0,12,31,37
1500000US110010033012,110010033012,"Block Group 2, Census Tract 33.01, District of Columbia, District of Columbia",28,34,0,12,0,12,0,12,0,12,0,12,0,12,28,34
1500000US110010033013,110010033013,"Block Group 3, Census Tract 33.01, District of Columbia, District of Columbia",63,55,22,33,0,12,20,33,0,12,0,12,0,12,21,32
1500000US110010033021,110010033021,"Block Group 1, Census Tract 33.02, District of Columbia, District of Columbia",81,44,17,26,0,12,23,26,0,12,0,12,0,12,41,38
1500000US110010033022,110010033022,"Block Group 2, Census Tract 33.02, District of Columbia, District of Columbia",59,45,6,9,0,12,0,12,0,12,0,12,0,12,53,44
1500000US110010034001,110010034001,"Block Group 1, Census Tract 34, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010034002,110010034002,"Block Group 2, Census Tract 34, District of Columbia, District of Columbia",279,92,41,45,22,34,21,33,0,12,28,43,0,12,167,83
1500000US110010035001,110010035001,"Block Group 1, Census Tract 35, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010035002,110010035002,"Block Group 2, Census Tract 35, District of Columbia, District of Columbia",24,27,0,12,0,12,0,12,0,12,0,12,0,12,24,27
1500000US110010036001,110010036001,"Block Group 1, Census Tract 36, District of Columbia, District of Columbia",129,118,0,12,45,71,43,69,0,12,0,12,0,12,41,67
