OFFENSE,BLOCK_GROUP,COUNT,BG_ID
ASSAULT W/DANGEROUS WEAPON,003800 1,9,A038001
ASSAULT W/DANGEROUS WEAPON,003800 2,7,A038002
ASSAULT W/DANGEROUS WEAPON,003800 3,26,A038003
ASSAULT W/DANGEROUS WEAPON,003900 1,5,A039001
ASSAULT W/DANGEROUS WEAPON,003900 2,8,A039002
ASSAULT W/DANGEROUS WEAPON,003900 3,10,A039003
ASSAULT W/DANGEROUS WEAPON,004001 1,13,A040011
ASSAULT W/DANGEROUS WEAPON,004001 3,1,A040013
ASSAULT W/DANGEROUS WEAPON,004002 1,30,A040021
ASSAULT W/DANGEROUS WEAPON,004002 2,10,A040022
ASSAULT W/DANGEROUS WEAPON,004002 3,1,A040023
ASSAULT W/DANGEROUS WEAPON,004100 1,7,A041001
ASSAULT W/DANGEROUS WEAPON,004100 2,3,A041002
ASSAULT W/DANGEROUS WEAPON,004100 3,5,A041003
ASSAULT W/DANGEROUS WEAPON,004201 1,7,A042011
ASSAULT W/DANGEROUS WEAPON,004201 2,9,A042012
ASSAULT W/DANGEROUS WEAPON,004202 1,4,A042021
ASSAULT W/DANGEROUS WEAPON,004202 2,6,A042022
ASSAULT W/DANGEROUS WEAPON,004300 1,43,A043001
ASSAULT W/DANGEROUS WEAPON,004300 2,24,A043002
ASSAULT W/DANGEROUS WEAPON,004400 1,19,A044001
ASSAULT W/DANGEROUS WEAPON,004400 2,94,A044002
ASSAULT W/DANGEROUS WEAPON,004600 1,93,A046001
ASSAULT W/DANGEROUS WEAPON,004600 2,33,A046002
ASSAULT W/DANGEROUS WEAPON,004701 1,21,A047011
ASSAULT W/DANGEROUS WEAPON,004701 2,40,A047012
ASSAULT W/DANGEROUS WEAPON,004702 1,51,A047021
ASSAULT W/DANGEROUS WEAPON,004801 1,44,A048011
ASSAULT W/DANGEROUS WEAPON,004802 1,7,A048021
ASSAULT W/DANGEROUS WEAPON,004802 2,16,A048022
ASSAULT W/DANGEROUS WEAPON,004901 1,26,A049011
ASSAULT W/DANGEROUS WEAPON,004901 2,36,A049012
ASSAULT W/DANGEROUS WEAPON,004902 1,21,A049021
ASSAULT W/DANGEROUS WEAPON,004902 2,31,A049022
ASSAULT W/DANGEROUS WEAPON,005001 1,9,A050011
ASSAULT W/DANGEROUS WEAPON,005001 2,7,A050012
ASSAULT W/DANGEROUS WEAPON,005002 1,1,A050021
ASSAULT W/DANGEROUS WEAPON,005002 2,8,A050022
ASSAULT W/DANGEROUS WEAPON,005002 3,2,A050023
ASSAULT W/DANGEROUS WEAPON,005002 4,15,A050024
ASSAULT W/DANGEROUS WEAPON,005201 1,11,A052011
ASSAULT W/DANGEROUS WEAPON,005201 2,4,A052012
ASSAULT W/DANGEROUS WEAPON,005201 3,24,A052013
ASSAULT W/DANGEROUS WEAPON,005201 4,12,A052014
ASSAULT W/DANGEROUS WEAPON,005301 1,3,A053011
ASSAULT W/DANGEROUS WEAPON,005301 2,7,A053012
ASSAULT W/DANGEROUS WEAPON,005301 3,6,A053013
ASSAULT W/DANGEROUS WEAPON,005301 4,16,A053014
ASSAULT W/DANGEROUS WEAPON,005500 1,40,A055001
ASSAULT W/DANGEROUS WEAPON,005500 2,10,A055002
